,,,,,,,Even Strength,Even Strength,Even Strength,Even Strength,,Power Play,Power Play,Power Play,Power Play,,Short Handed,Short Handed,Short Handed,Short Handed,-additional
Rk,Player,Tm,Pos,Shift,GP,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60,-9999
114,Brayden Pachal,TOT,D,0:35,50,,13:33,-5.0,2.4,2.7,,0:01,12.3,0.0,0.0,,1:05,11.0,1.9,5.7,pachabr01
115,Brayden Point,TBL,C,0:46,81,,16:21,3.9,3.9,4.3,,3:39,1.3,11.5,1.0,,0:01,5.7,0.0,0.0,pointbr01
116,Brayden Schenn,STL,C,0:48,82,,14:23,-0.1,2.9,3.8,,2:32,1.8,6.6,1.7,,0:51,-2.0,1.7,6.8,schenbr01
117,Brendan Brisson,VEG,C,0:46,15,,11:20,2.2,3.5,4.9,,0:56,6.4,8.5,4.2,,0:02,-10.3,0.0,0.0,brissbr01
118,Brendan Gallagher,MTL,RW,0:43,77,,12:15,3.4,2.2,3.5,,1:31,3.7,2.5,1.5,,0:00,-9.0,0.0,0.0,gallabr01
119,Brendan Gaunce,CBJ,C,0:36,24,,11:07,-0.1,1.3,2.7,,0:03,-40.6,0.0,36.4,,0:33,5.7,0.0,13.6,gauncbr01
120,Brendan Lemieux,CAR,LW,0:33,32,,7:57,-6.6,2.6,2.6,,0:03,-14.9,0.0,0.0,,0:00,,0.0,0.0,lemiebr01
121,Brendan Smith,NJD,D,0:41,63,,13:16,-5.2,3.2,3.6,,0:02,-20.4,0.0,0.0,,2:47,2.1,0.7,4.8,smithbr05
122,Brenden Dillon,WPG,D,0:36,77,,16:22,-4.0,3.1,2.1,,0:08,4.0,0.0,0.0,,2:13,-1.9,0.0,6.3,dillobr01
123,Brennan Othmann,NYR,LW,0:49,3,,9:05,-9.7,0.0,0.0,,0:00,,,,,0:00,,,,othmabr01
124,Brent Burns,CAR,D/RW,0:36,82,,16:34,1.3,3.4,2.6,,2:37,-1.5,10.9,0.8,,2:18,1.1,1.3,5.7,burnsbr01
125,Brett Howden,VEG,C,0:48,72,,11:52,-5.4,2.5,3.4,,0:03,0.5,12.4,0.0,,1:16,-3.4,1.3,6.5,howdebr01
126,Brett Kulak,EDM,D,0:40,82,,14:24,-2.5,2.3,2.3,,0:04,9.9,17.7,0.0,,0:53,-3.6,0.0,6.5,kulakbr01
127,Brett Leason,ANA,RW,0:36,68,,10:36,-4.0,1.8,2.7,,0:12,0.6,4.2,0.0,,2:11,0.9,1.2,10.5,leasobr01
128,Brett Murray,BUF,LW,0:38,2,,7:55,17.5,0.0,3.8,,0:03,,0.0,0.0,,0:00,,,,murrabr02
129,Brett Pesce,CAR,D,0:33,70,,17:49,-1.9,2.8,2.5,,0:08,-1.6,6.4,0.0,,2:20,-4.5,1.8,4.4,pescebr01
130,Brett Seney,CHI,LW,0:35,4,,10:17,-0.9,1.5,1.5,,0:02,,0.0,0.0,,0:00,,0.0,0.0,seneybr01
131,Brian Dumoulin,SEA,D,0:42,80,,15:29,3.9,1.9,1.9,,0:07,-6.0,0.0,0.0,,1:24,5.8,1.6,7.4,dumoubr01
132,Brian Halonen,NJD,F,0:37,2,,8:13,-4.2,0.0,0.0,,0:03,,0.0,0.0,,0:00,,,,halonbr01
133,Brock Boeser,VAN,RW,0:41,81,,14:49,-0.8,3.8,2.4,,3:45,2.0,10.2,1.2,,0:00,-11.5,0.0,0.0,boesebr01
134,Brock Faber,MIN,D,0:47,82,,19:27,-3.4,3.0,2.8,,2:33,-0.1,8.9,1.7,,2:57,-0.5,0.0,9.2,faberbr01
135,Brock McGinn,ANA,LW,0:41,24,,9:42,-6.7,1.5,2.8,,0:03,11.7,0.0,0.0,,1:18,-2.3,0.0,1.9,mcginbr01
136,Brock Nelson,NYI,C,0:43,82,,14:54,3.1,3.2,3.4,,2:52,0.7,9.4,0.8,,0:17,6.2,5.0,10.1,nelsobr01
137,Bryan Rust,PIT,RW,0:44,62,,15:35,2.4,4.8,3.9,,2:27,5.0,5.5,2.7,,1:31,3.4,1.3,8.9,rustbr01
138,Byron Froese,VEG,C,0:44,16,,10:05,-4.5,1.5,2.2,,0:05,22.7,0.0,0.0,,0:29,-12.0,0.0,7.7,froesby01
