Name,gp,wins,GA,GAA,saves,shots_against,sv_percent,shutout,manager,year,Position
Anton Khudobin,27,11,60,2.37,620,680,0.9117647058823529,3,The Hans Grubauers,2020,G
Jake Oettinger,4,1,9,2.46,92,101,0.9108910891089109,0,The Hans Grubauers,2020,G
Thomas Greiss,1,0,3,2.78,21,24,0.875,0,The Hans Grubauers,2020,G
Mackenzie Blackwood,1,0,4,4.06,21,25,0.84,0,The Hans Grubauers,2020,G
Petr Mrazek,1,0,3,4.5,23,26,0.8846153846153846,0,BunchaPigeons,2021,G
Elvis Merzlikins,19,11,56,3.16,565,621,0.9098228663446055,1,BunchaPigeons,2021,G
Anton Khudobin,1,0,3,3.06,24,27,0.8888888888888888,0,BunchaPigeons,2021,G
Spencer Knight,8,4,26,3.4,192,218,0.8807339449541285,0,BunchaPigeons,2021,G
Semyon Varlamov,11,1,29,2.73,295,324,0.9104938271604939,0,BunchaPigeons,2021,G
Alex Nedeljkovic,2,0,5,3.8,34,39,0.8717948717948718,0,BunchaPigeons,2021,G
Ilya Samsonov,12,6,38,3.24,299,337,0.887240356083086,0,BunchaPigeons,2021,G
Kaapo Kahkonen,7,4,14,2.18,201,215,0.9348837209302325,0,BunchaPigeons,2021,G
Tuukka Rask,4,2,14,4.28,76,90,0.8444444444444444,0,BunchaPigeons,2021,G
Ville Husso,24,15,66,2.77,665,731,0.9097127222982216,0,BunchaPigeons,2021,G
Mikko Koskinen,11,6,35,3.13,315,350,0.9,1,BunchaPigeons,2021,G
Mike Smith,6,3,18,3.44,147,165,0.8909090909090909,0,BunchaPigeons,2021,G
Sam Montembeault,1,0,7,9.23,16,23,0.6956521739130435,0,BunchaPigeons,2021,G
Anton Forsberg,3,2,10,3.29,74,84,0.8809523809523809,0,BunchaPigeons,2021,G
Erik Kallgren,4,2,14,3.52,101,115,0.8782608695652174,0,BunchaPigeons,2021,G
Casey DeSmith,3,2,9,3.06,93,102,0.9117647058823529,0,BunchaPigeons,2021,G
Andrei Vasilevskiy,55,34,135,2.48,1520,1655,0.918429003021148,2,Commissioner Coulas,2021,G
Tristan Jarry,52,31,122,2.39,1399,1521,0.9197896120973044,4,Commissioner Coulas,2021,G
Carter Hart,29,9,80,2.79,864,944,0.9152542372881356,1,Commissioner Coulas,2021,G
Connor Hellebuyck,64,28,186,2.95,1912,2098,0.9113441372735939,4,Dont Drink and Draft,2021,G
Vitek Vanecek,34,16,85,2.63,840,925,0.9081081081081082,3,Dont Drink and Draft,2021,G
Linus Ullmark,16,10,47,3.02,401,448,0.8950892857142857,0,Dont Drink and Draft,2021,G
Jack Campbell,47,29,118,2.65,1246,1364,0.9134897360703812,5,Hail Satan,2021,G
Sergei Bobrovsky,54,39,137,2.67,1428,1565,0.9124600638977636,3,Hail Satan,2021,G
Ilya Samsonov,3,2,7,2.8,42,49,0.8571428571428571,0,Hail Satan,2021,G
Frederik Andersen,52,35,111,2.17,1320,1431,0.9224318658280922,4,HatTrick Swayzes,2021,G
Jeremy Swayman,3,1,8,2.71,67,75,0.8933333333333333,0,HatTrick Swayzes,2021,G
Linus Ullmark,9,5,24,2.68,247,271,0.9114391143911439,0,HatTrick Swayzes,2021,G
Jake Oettinger,8,5,23,3.12,184,207,0.8888888888888888,0,HatTrick Swayzes,2021,G
Elvis Merzlikins,4,1,16,4.4,138,154,0.8961038961038961,0,HatTrick Swayzes,2021,G
Ilya Samsonov,8,3,23,3.17,207,230,0.9,0,HatTrick Swayzes,2021,G
Scott Wedgewood,1,1,5,5,41,46,0.8913043478260869,0,HatTrick Swayzes,2021,G
Zach Sawchenko,1,1,3,2.98,33,36,0.9166666666666666,0,HatTrick Swayzes,2021,G
Antti Raanta,1,0,2,2.05,18,20,0.9,0,HatTrick Swayzes,2021,G
Anton Forsberg,1,0,3,3.07,35,38,0.9210526315789473,0,HatTrick Swayzes,2021,G
Jake Allen,4,2,13,3.24,131,144,0.9097222222222222,0,HatTrick Swayzes,2021,G
Karel Vejmelka,1,0,3,3.05,25,28,0.8928571428571429,0,HatTrick Swayzes,2021,G
Logan Thompson,5,4,11,2.19,135,146,0.9246575342465754,1,HatTrick Swayzes,2021,G
Carey Price,4,1,16,4.02,113,129,0.875968992248062,0,HatTrick Swayzes,2021,G
Mike Smith,10,6,27,2.82,325,352,0.9232954545454546,1,Mitchell's Mooners,2021,G
Igor Shesterkin,48,32,98,2.12,1361,1459,0.9328307059629883,5,Mitchell's Mooners,2021,G
Cal Petersen,30,16,87,2.97,724,811,0.8927250308261405,2,Mitchell's Mooners,2021,G
Mikko Koskinen,17,11,53,3.19,479,532,0.900375939849624,0,Mitchell's Mooners,2021,G
Braden Holtby,11,5,35,3.27,305,340,0.8970588235294118,0,Mitchell's Mooners,2021,G
Petr Mrazek,7,3,22,3.9,155,177,0.8757062146892656,0,Mitchell's Mooners,2021,G
James Reimer,4,0,10,2.82,96,106,0.9056603773584906,0,Mitchell's Mooners,2021,G
Darcy Kuemper,48,33,109,2.36,1398,1507,0.9276708692767087,5,No Regretzkys,2021,G
Jordan Binnington,26,13,77,3,762,839,0.9082240762812872,2,No Regretzkys,2021,G
Jeremy Swayman,29,18,70,2.44,736,806,0.913151364764268,2,No Regretzkys,2021,G
Dan Vladar,2,1,7,3.39,53,60,0.8833333333333333,0,No Regretzkys,2021,G
Petr Mrazek,6,4,14,2.41,142,156,0.9102564102564102,0,No Regretzkys,2021,G
James Reimer,2,2,5,2.51,51,56,0.9107142857142857,0,No Regretzkys,2021,G
Linus Ullmark,4,2,6,1.81,82,88,0.9318181818181818,0,No Regretzkys,2021,G
Elvis Merzlikins,6,2,14,2.36,176,190,0.9263157894736842,0,No Regretzkys,2021,G
Braden Holtby,7,2,18,2.6,187,205,0.9121951219512195,0,Sugar Kane,2021,G
Cam Talbot,44,28,120,2.82,1172,1292,0.9071207430340558,3,Sugar Kane,2021,G
Adin Hill,1,1,3,3,20,23,0.8695652173913043,0,Sugar Kane,2021,G
Ilya Samsonov,4,2,9,2.88,76,85,0.8941176470588236,1,Sugar Kane,2021,G
Jonathan Quick,14,5,40,2.95,338,378,0.8941798941798942,1,Sugar Kane,2021,G
James Reimer,10,6,29,3.11,275,304,0.9046052631578947,1,Sugar Kane,2021,G
Alex Nedeljkovic,11,3,34,3.32,276,310,0.8903225806451613,1,Sugar Kane,2021,G
Pavel Francouz,12,8,28,2.41,326,354,0.9209039548022598,1,Sugar Kane,2021,G
Jake Oettinger,25,14,64,2.59,661,725,0.9117241379310345,1,Sugar Kane,2021,G
Ilya Sorokin,52,26,123,2.4,1517,1640,0.925,7,The Dirty Beavers,2021,G
Jacob Markstrom,63,37,137,2.22,1617,1754,0.9218928164196123,9,The Dirty Beavers,2021,G
Thatcher Demko,60,29,162,2.81,1683,1845,0.9121951219512195,0,The Glatt Pack,2021,G
Jake Allen,11,3,31,2.94,278,309,0.8996763754045307,2,The Glatt Pack,2021,G
John Gibson,47,14,152,3.37,1359,1511,0.899404367968233,1,The Glatt Pack,2021,G
Mackenzie Blackwood,14,5,49,3.8,357,406,0.8793103448275862,0,The Glatt Pack,2021,G
Robin Lehner,40,21,110,2.81,1065,1175,0.9063829787234042,1,The Tkachukle Fuckers,2021,G
