Name,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK,manager,year,Position,center,lw,rw,defence,multi_position,GWG
Jake DeBrusk,8,5,2,4,2,2,NA,5,4,I'M BETTMEN!!!,2018,"LW,RW",0,1,1,0,1,0
Jonathan Toews,12,4,7,-3,4,2,NA,9,7,I'M BETTMEN!!!,2018,C,1,0,0,0,0,0
Alex Ovechkin,73,47,36,6,38,26,NA,194,38,Mitchell's Drangles,2018,LW,0,1,0,0,0,3
Evander Kane,68,27,24,-3,151,10,NA,149,23,Mitchell's Drangles,2018,LW,0,1,0,0,0,1
James Neal,11,1,1,-4,10,0,NA,10,5,Mitchell's Drangles,2018,RW,0,0,1,0,0,0
Alex DeBrincat,67,34,31,-4,17,21,NA,22,21,Mitchell's Drangles,2018,"LW,RW",0,1,1,0,1,3
Jakub Voracek,33,9,20,-17,8,7,NA,11,9,Mitchell's Drangles,2018,"LW,RW",0,1,1,0,1,1
Sam Reinhart,31,9,8,-22,2,7,NA,25,20,Mitchell's Drangles,2018,"C,RW",1,0,1,0,1,0
Dustin Byfuglien,16,2,11,5,22,8,NA,31,20,Mitchell's Drangles,2018,D,0,0,0,1,0,1
Ivan Provorov,20,2,5,-4,10,0,NA,28,40,Mitchell's Drangles,2018,D,0,0,0,1,0,0
Matt Dumba,32,12,10,-5,21,12,NA,60,43,Mitchell's Drangles,2018,D,0,0,0,1,0,1
Colton Parayko,38,7,4,7,6,3,NA,57,71,Mitchell's Drangles,2018,D,0,0,0,1,0,3
Anze Kopitar,72,21,33,-12,28,16,NA,55,59,Mitchell's Drangles,2018,C,1,0,0,0,0,3
Jeff Carter,17,3,5,-6,6,4,NA,19,6,Mitchell's Drangles,2018,C,1,0,0,0,0,0
Justin Faulk,27,1,7,3,19,2,NA,45,39,Mitchell's Drangles,2018,D,0,0,0,1,0,0
Brent Seabrook,68,4,19,-12,22,10,NA,108,152,Mitchell's Drangles,2018,D,0,0,0,1,0,1
Tyler Johnson,65,22,14,9,20,6,NA,44,22,Mitchell's Drangles,2018,"LW,RW",0,1,1,0,1,3
Josh Bailey,56,12,21,-2,6,5,NA,11,23,Mitchell's Drangles,2018,RW,0,0,1,0,0,3
Mark Stone,51,23,23,6,17,12,NA,46,51,Mitchell's Drangles,2018,RW,0,0,1,0,0,2
Travis Konecny,42,12,14,-10,20,3,NA,32,20,Mitchell's Drangles,2018,RW,0,0,1,0,0,1
Rasmus Dahlin,49,6,20,-16,20,13,NA,56,43,Mitchell's Drangles,2018,D,0,0,0,1,0,2
Charlie McAvoy,38,5,14,14,21,1,NA,76,62,Mitchell's Drangles,2018,D,0,0,0,1,0,3
Neal Pionk,19,0,2,-7,18,1,NA,39,22,Mitchell's Drangles,2018,D,0,0,0,1,0,0
Ryan Pulock,16,1,2,5,4,0,NA,29,30,Mitchell's Drangles,2018,D,0,0,0,1,0,1
